C,Si,Mn,P,S,Cr,Ni,Al,Cu,steel_class
"0,1645","0,316166666666667","0,73","0,02935","0,0386166666666667","0,03675","0,0795833333333333","0,00561666666666667","0,201833333333333",St 48
"0,25825","0,34275","0,67","0,0365125","0,0708875","0,0294","0,137","0,006375","0,196375",St 48
"0,06792","0,005","0,43","0,01094","0,021","0,0098","0,03708","0,00216","0,0977",St 37
"0,120833333333333","0,005","0,34","0,0243833333333333","0,0507166666666667","0,0133666666666667","0,0552666666666667","0,0032","0,187666666666667",St 37
"0,08016","0,00614","0,4","0,01306","0,03272","0,01964","0,0469","0,00364","0,2012",St 37
"0,115833333333333","0,835166666666667","0,69","0,0221666666666667","0,0383833333333333","0,0146333333333333","0,04335","0,0055","0,202666666666667",St Si
"0,10218","0,8462","0,72","0,02724","0,04236","0,01532","0,04564","0,00532","0,2118",St Si
"0,134166666666667","0,9845","0,85","0,0323333333333333","0,05175","0,0133166666666667","0,0448833333333333","0,00286666666666667","0,172",St Si
"0,273","0,263333333333333","0,52","0,0159","0,0419666666666667","0,01365","0,0616666666666667","0,00313333333333333","0,197",St 48
"0,2942","0,284","0,5316","0,0184","0,0505","0,0187","0,0672","0,0036","0,2063",St 48
"0,259666666666667","0,248666666666667","0,78","0,0450333333333333","0,0424","0,0160666666666667","0,0392","0,00248333333333333","0,143666666666667",St 48
"0,0891166666666667","0,87","0,81","0,0232166666666667","0,04485","0,0148666666666667","0,0607833333333333","0,00286666666666667","0,1555",St Si
"0,272166666666667","0,241166666666667","0,67","0,03995","0,0422666666666667","0,0183","0,0560166666666667","0,00203333333333333","0,156833333333333",St 48
"0,109833333333333","0,835666666666667","0,73","0,0280166666666667","0,0431666666666667","0,0158666666666667","0,0429333333333333","0,00416666666666667","0,2095",St Si
"0,1815","0,214","0,62","0,0410833333333333","0,0516666666666667","0,0235166666666667","0,0481666666666667","0,002","0,149333333333333",St 48
"0,276166666666667","0,296","0,78","0,0301166666666667","0,0273166666666667","0,01775","0,0429166666666667","0,00201666666666667","0,192666666666667",St 48
"0,2525","0,2265","0,68","0,03515","0,0452666666666667","0,0258666666666667","0,04395","0,002","0,190333333333333",St 48
"0,2825","0,2459","0,7082","0,0373","0,0489","0,0298","0,0464","0,0028","0,1968",St 48
